사업장번호,사업장명
1602250067,강남R&D센터
1602250071,진보피엔씨
1602250104,제이에이치화학공업(주)
1602250043,롯데정보통신(주)
1602250062,참포도나무병원
1602250077,정릉e-편한세상
1602250072,대송에이치.아이 주식회사
1602250031,남산센트럴자이주상복합
1602250082,주식회사 모나리자 전주공장
1602250007,주식회사 케이피에프충주공장
1602250018,이촌(코오롱)아파트
1602250042,오창공장
1602250052,(주)충북소주
1602250088,정릉품림아이원아파트
1602240012,청주공장
1602240013,오창공장
1602250085,한솔제지
1602250122,동아청솔아파트
1602250138,남산타운아파트
1602250136,원강산업주식회사
1602250150,성북동아에코빌
1602250162,(주)대명
1602250173,한국국제대학교
1602250078,금호석유화학(주)-강림이엔알
1602250017,구미사업장
1602250180,자인메디병원
1602250091,금호석유화학(주)-여수1에너지
1602230113,대구사업장
1602250094,금호석유화학(주)-중앙연구소
1602250097,금호석유화학(주)-울산수지
1602250098,금호석유화학(주)-울산고무공장
1602250099,금호석유화학(주)-여수고무1공장
1602250101,금호석유화학(주)-여수고무2공장
1602250102,금호석유화학(주)-여수에너지
1602250103,금호석유화학(주)-여수정밀화학
1602250185,청량리한신아파트
1602250106,금호석유화학(주)-화성공장
1602250108,금호석유화학(주)-아산공장
1602250112,태영산업주식회사
1602250115,주식회사바텍
1602250118,주식회사 레이언스
1602250123,한화에코메트로9단지입주자대표회의
1602250125,광명SK테크노파크 운영위원회
1602260003,김포현대힐스테이트
1602260008,래미안퍼스티지
1602260011,래미안아름숲아파트
1601040002,(주)태화이엔지-1공장
1601140001,세화이엔지
1601140002,주식회사이노렉스테크놀러지
1601140003,에이치디트레이드
1601140004,(주)한독테크
1601140005,(주)백두테크
1601140006,(주)에코시스
1602010002,(주)비케이시스템
1602010003,주식회사하이팩시스템
1602040001,경원여객자동차(주)
1602040002,(주)대명산업
1602040003,신영델텍주식회사
1602040004,(주)드림디포문구유통(성남)
1602040005,백운우방아이유쉘아파트입주자대표회의
1602040006,농업회사법인들풀유한회사
1602040007,엑스플로어주식회사
1602040008,주식회사상신기업
1602040009,의료법인 세경의료재단
1602040010,(주)우경산업
1602150001,주식회사 삼영메탈
1602150003,금강유리(주)-(금강글라스)
1602150004,쌍용자동차서수원사업소 (주)
1602170002,갈롤코리아 (주)
1602170004,주식회사피피아이
1602170005,원창머티리얼 주식회사
1602170006,원창머티리얼 (주) 염색공장
1602170007,(주) 비락
1602170008,한국OSG (주)
1602170009,대흥산업
1602180005,(주)에스제이스틸
1602180008,(주)에스이
1602190006,(주)화원약품
1602190007,대영전자(주) 광주지점
1602190008,진로유통주식회사
1602190009,디지털스테이션 관리단
1602190010,(주)서진오토모티브
1602220052,(주)지디정밀(우성공업)
1602230106,삼성금속(주)
1602230110,(주)퍼시스(안성)
1602230111,(주)효진오토테크
1602250063,(주)소다용인공장
1602250066,(주)소다 광주사무소
1602250081,어위쉬예다인 입주자 대표회의
1602250083,주식회사 제이피엠
1602250090,쌍용자동차분당정비사업소(주)
1602260026,(주)한울테크
1602260027,진일TRD
1602260028,(주)구산
1602260029,첨단메탈코팅주식회사
1602250070,에스알테크노팩(주)
1602250065,에스엘미러텍
1602250002,반포자이아파트
1602250156,삼보프라텍 주식회사
1602260019,엄궁코오롱
1602250036,대성스카이렉스입주자대표회의
1602260031,주식회사 녹채원
1602260033,천성리버타운
1602250010,삼륭물산(주)시화공장
1602250039,코닝정밀소재1단지
1602250028,(주)동원에프앤비중부공장
1602260034,가야반도보라빌아파트
1602260092,주식회사 삼태성 성주공장
1602220015,광주원예농업협동조합
1602260041,아이에스동서(주)괴산지점
1602260009,용이 2차 푸르지오입주자대표회의
1602260013,창성정공
1602240023,롯데역사(주) 영등포점
1602260059,유일추모공원
1602260015,(주)태화이엔지(2공장)
1602260016,주식회사 대림산업
1602260017,주식회사테마알앤디
1602260018,영복마트
1602260021,중앙동힐스테이트2차 입주자대표회의
1602260022,(주)싸이노스
1602260023,(주)한국신약
1602260042,세양청구마을아파트
1602260024,도원금형(주)
1602260025,(주)삼신
1602250047,코닝정밀소재 2단지
1602250032,영플라자 청주점
1602220020,관악점
1602260048,서신식품(주)
1602220038,인천점
1602250073,아울렛 대구율하점
1602230097,미아점
1602250058,해성디에스
1602260050,장미현대아파트
1602230103,안양점
1602250045,부평점
1602240069,아울렛 청주점
1602230105,전주점
1602250040,동래점
1602250064,(주)효성 창원1공장
1602260051,(주)한성플랜지
1602260039,(주)장천
1602260063,이문이편한세상아파트
1602260032,(주)강림정공
1602230107,포항점
1602260071,광주수완코오롱하늘채아파트
1602240005,본점
1602240064,아울렛 구리점
1602250049,노원점
1602250024,상인점
1602230006,아울렛 청주점
1602260070,한진수산
1602260074,신도림동아1차아파트
1602230042,대전점
1602260072,(주)세아메탈 원주공장
1602260073,세아제강
1602250120,(주)효성 창원2공장
1602250006,(주)프라코 진천1공장
1602250015,(주)프라코 진천2공장
1602230088,상동써미트빌아파트 입주자대표회의
1602250016,(주)프라코 진천3공장
1602260076,구지마을3단지푸르지오아파트
1602260068,의료법인 청화의료재단 시민병원
1602260075,한일제관(주)대전공장
1602260080,정관1차동원로얄듀크
1602260093,달빛신안아파트
1602250051,대원중공업(주)
1602260064,서진캠
1602260043,씨제이대한통운 가산동택배터미널
1602240006,생명물식품(주)
1602260082,인터플렉스
1602260112,삼정건물(주)
1602260005,(주)효성 창원4공장
1602250186,(주)효성 창원3공장
1602260095,한국타이어(주) 대전공장
1602260085,(주)세아베스틸
