사업번호,사전계측용량(kW)
201602260197 ,1.296 
201602260198 ,0.720 
201602260199-1,4.50 
201602260199-2,1.32 
201602260199-3,1.32 
201602260199-4,1.08 
201602260199-5,1.08 
201602260200 ,0.392 
201602260201 ,1.24 
201602260202 ,1.21 
201602260204 ,1.638
201602260204 ,0.828
201602260205-1,0.94 
201602260205-2,0.94 
201602260206 ,1.09 
201602260208 ,0.94 
201602260209 ,1.35 
201602260210 ,1.41 
201602260211-1,0.68 
201602260211-2,0.68 
201602260212 ,0.71 
201602260213 ,1.8
201602260214 ,1.911
201602260216 ,3.584
201602260217-1,0.738
201602260217-2,0.702
201602260218 ,2.112 
201602260219 ,3.520 
201602260221 ,1.920 
201602260222 ,2.240 
201602260223 ,0.9996
201602260225 ,1.920 
201602260226 ,1.566 
201602260227 ,2.688 
201602260228 ,0.7938
201602260230 ,1.08
201602260231 ,1.5096
201602260232 ,1.058
201602260233 ,1.98
201602260234 ,1.05
201602260235 ,0.72
201602260237-1,0.36
201602260237-2,0.27
201602260238 ,0.832 
201602260239 ,1.920 
201602260240 ,0.882
201602260241 ,0.9114
201602260243 ,0.8967
201602260244 ,1.856
201602260245 ,1.150 
201602260246 ,2.816 
201602260247 ,3.072 
201602260249 ,2.688 
201602260250 ,1.52
201602260251 ,1.152 
201602260252 ,3.13
201602260253 ,2.496 
201602260255 ,1.2348
201602260257 ,0.814
201602260261-1,0.532
201602260261-2,0.456
201602260263-1,0.36
201602260263-2,0.36
201602260263-3,0.954
201602260263-4,0.216
201602260264-1,4.55
201602260264-2,2.6
201602260265-1,0.952
201602260265-2,0.884
201602260265-3,0.384
201602260265-4,0.648
201602260267 ,2.752 
201602260269 ,
201602260271 ,1.006
201602260272 ,0.68 
201602260274-1,0.936
201602260274-2,1.206
201602260276-1,1.254
201602260276-2,1.254
201602260288 ,0.55883
201602260290-1,2.142 
201602260290-2,2.610 
201602260292-1,0.48 
201602260292-2,0.48 
201602260296-1,0.60 
201602260296-2,0.70 
201602260296-3,0.60 
201602260296-4,0.60 
201602260297-1,
201602260297-2,
201602260298-1,
201602260298-2,
201602260302 ,1.17
201602260303-1,0.83 
201602260303-2,0.83 
201602260303-3,0.83 
201602260304-1,0.70 
201602260304-2,0.60 
201602260305 ,2.79
201602260306-1,1.30 
201602260306-2,1.00 
201602260306-3,0.90 
201602260307 ,2.20 
201602260308-1,1.00 
201602260308-2,1.20 
201602260309-1,0.60 
201602260309-2,0.60 
201602260311-1,0.48 
201602260311-2,0.64 
201602260312-1,1.17 
