구분,사업장번호,신청 사업자명,사업장명,기업유형(사업장),품목,선정상태,지역,사업장주소,설치업체,업체설치여부,설치비용,건물용도,계측기설치장소,계측설비형태,계측설비용량(W),계측설비대수,계측용량(kW),계량기시리얼넘버,모뎀시리얼넘버,타입
202,201602260198 ,롯데하이마트(주),롯데하이마트(주) 탄금점,대기업,LED,선정,충북,충청북도 충주시 탄금대로 149 (봉방동) 롯데하이마트(주) 탄금점,누리텔레콤,계량기+모뎀,30,일반건물,3층 사무실,형광등,18W,20,0.720 ,00-250071442,01224230465,"G-type(단상2선식, 단독)"
,201602260102-2,롯데쇼핑(주),인천점,대기업,LED,선정,인천,"인천광역시 남동구 예술로 148 (구월동, 롯데백화점) ",누리텔레콤,-,-,일반건물,3층 EPS실,LED,7W,101,0.707 ,00-250071449,01220800592,"G-type(단상2선식, 단독)"
174,201602260164 ,주식회사뷰라이팅인터내셔널,(주)퍼시스(충주),중견,LED,선정,충북,충청북도 충주시 중앙탑면 가금농공길 46 ,누리텔레콤,계량기+모뎀,30,공장,2층 사무실,형광등,40W,20,0.800 ,00-250071451,01224230528,"G-type(단상2선식, 단독)"
,201602260102-3,롯데쇼핑(주),인천점,대기업,LED,선정,인천,"인천광역시 남동구 예술로 148 (구월동, 롯데백화점) ",누리텔레콤,-,-,일반건물,3층 EPS실,LED,7W,137,0.959 ,00-250071453,01224230457,"G-type(단상2선식, 단독)"
16,201602220025 ,LG화학,LG화학 오창1공장 (공통부문),대기업,LED,선정,충북,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 LG화학 오창1공장,누리텔레콤,계량기+모뎀,30,공장,북문 복지동 식당,LED,40W,48,1.920 ,00-250071459,01224230493,"G-type(단상2선식, 단독)"
167,201602260151 ,대한철강(주),대한철강(주),중소,LED,선정,충남,충청남도 당진시 신평면 원머리로 271 대한철강(주),누리텔레콤,계량기+모뎀,30,공장,제 1공장,LED,100W,24,2.400 ,00-250071464,01224230490,"G-type(단상2선식, 단독)"
160,201602260137 ,의료법인 청화의료재단 시민병원,의료법인 청화의료재단 시민병원,해당없음,LED,선정,충남,충청남도 아산시 영인면 상성길50번길 106 ,누리텔레콤,계량기+모뎀,30,일반건물,1층 EPS실,LED,17W,40,0.680 ,00-250071465,01224230488,"G-type(단상2선식, 단독)"
61,201602250013 ,한국분말야금(주),한국분말야금(주),중소,LED,선정,충남,충청남도 아산시 인주면 인주산단로 111 ,누리텔레콤,계량기+모뎀,30,공장,공장,LED,75W,18,1.350 ,00-250071467,01224230478,"G-type(단상2선식, 단독)"
147,201602260109 ,롯데쇼핑(주),부평점,대기업,LED,선정,인천,"인천광역시 부평구 부평문화로 35 (부평동, 롯데백화점) ",누리텔레콤,계량기+모뎀,30,일반건물,1층 EPS실,LED,7W,93,0.651 ,00-250071468,01224230477,"G-type(단상2선식, 단독)"
204,201602260200 ,롯데하이마트(주),롯데하이마트(주) 부여점,대기업,LED,선정,충남,충청남도 부여군 부여읍 성왕로 132 롯데하이마트(주) 부여점,누리텔레콤,계량기+모뎀,30,일반건물,사무실,LED,7W,56,0.392 ,00-250071469,01224230476,"G-type(단상2선식, 단독)"
,201602240029-2,케이씨글라스(주),케이씨글라스(주),중소,LED,선정,충남,충청남도 천안시 서북구 입장면 성진로 1105 ,누리텔레콤,계량기+모뎀,,공장,지하기계실,LED,18W,16,0.288,00-250071481,01224230531,"G-type(단상2선식, 단독)"
,201602260064-5,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,82,1.197,00-250071493,01224273048,"G-type(단상2선식, 단독)"
