구분,사업장번호,신청 사업자명,사업장명,기업유형(사업장),품목,선정상태,지역,사업장주소,설치업체,업체설치여부,설치비용,건물용도,계측기설치장소,계측설비형태,계측설비용량(W),계측설비대수,계측용량(kW),계량기시리얼넘버,모뎀시리얼넘버,타입
,201602250056-4,주식회사 케이피에프충주공장,주식회사 케이피에프충주공장,중견,LED,선정,충북,충청북도 충주시 충주산단5로 50 (용탄동) ,누리텔레콤,-,-,공장,열간단조동,메탈할라이드,100W,54,5.400 ,00-250130361,01224230511,"G-type(단상2선식, 단독)"
,201602250056-2,주식회사 케이피에프충주공장,주식회사 케이피에프충주공장,중견,LED,선정,충북,충청북도 충주시 충주산단5로 50 (용탄동) ,누리텔레콤,-,-,공장,열처리동,메탈할라이드,100W,40,4.000 ,00-250130362,01220800623,"G-type(단상2선식, 단독)"
78,201602250056-1,주식회사 케이피에프충주공장,주식회사 케이피에프충주공장,중견,LED,선정,충북,충청북도 충주시 충주산단5로 50 (용탄동) ,누리텔레콤,자체설치,0,공장,열처리동,메탈할라이드,100W,40,4.000 ,00-250130363,01224224149,"G-type(단상2선식, 단독)"
79,201602250058 ,(주)이노셈코리아,이촌(코오롱)아파트,공동주택,LED,선정,서울,"서울특별시 용산구 이촌로87길 21 (이촌동, 이촌아파트) ",누리텔레콤,모뎀,20,공동주택,지하 1층 주차장,LED,16W,72,1.152 ,00-250130365,01224230515,"G-type(단상2선식, 단독)"
,201602250056-3,주식회사 케이피에프충주공장,주식회사 케이피에프충주공장,중견,LED,선정,충북,충청북도 충주시 충주산단5로 50 (용탄동) ,누리텔레콤,-,-,공장,열간단조동,메탈할라이드,100W,47,4.700 ,00-250130367,01220435025,"G-type(단상2선식, 단독)"
196,201602260190 ,단암산업(주),단암산업(주),중소,LED,선정,서울,서울특별시 중구 소월로 10 (남대문로5가) ,누리텔레콤,자체설치,0,일반건물,지하2층 주차장,형광등,18W,57,1.026 ,00-250130368,01220800593,"G-type(단상2선식, 단독)"
158,201602260129 ,(주)세아메탈 원주공장,(주)세아메탈 원주공장,대기업,LED,선정,강원,강원도 원주시 문막읍 원문로 2179 ,누리텔레콤,모뎀,20,공장,1층 공장동,LED,150W,14,2.100 ,00-250130369,01224230530,"G-type(단상2선식, 단독)"
240,201602260244 ,래미안장안2차아파트,래미안장안2차아파트,공동주택,LED,선정,서울,"서울특별시 동대문구 장안벚꽃로 167 (장안동, 래미안장안2차아파트) 관리사무소",누리텔레콤,모뎀,20,공동주택,지하 1층 주차장,형광등,16W,116,1.856,00-250130374,01224230489,"G-type(단상2선식, 단독)"
68,201602250032 ,샘표식품 주식회사 영동공장,샘표식품 주식회사 영동공장,중견,LED,선정,충북,충청북도 영동군 용산면 용심로 892  샘표식품 영동공장,누리텔레콤,계량기+모뎀,30,공장,육포공장 성형실,LED,29.4W,26,0.764 ,00-250130375,01224230518,"G-type(단상2선식, 단독)"
163,201602260143-1,씨제이대한통운(주),씨제이대한통운 가산동택배터미널,대기업,LED,선정,서울,서울특별시 금천구 가산디지털2로 156 (가산동) CJ대한통운(주) 가산동택배터미널,누리텔레콤,계량기+모뎀,30,기타,2층 A구역,LED,175W,10,1.750 ,00-250130376,01224230513,"G-type(단상2선식, 단독)"
,201602260143-2,씨제이대한통운(주),씨제이대한통운 가산동택배터미널,대기업,LED,선정,서울,서울특별시 금천구 가산디지털2로 156 (가산동) CJ대한통운(주) 가산동택배터미널,누리텔레콤,-,-,기타,2층 B구역,LED,175W,10,1.750 ,00-250130377,01224230482,"G-type(단상2선식, 단독)"
81,201602250062 ,주식회사 지디,청주공장,중소,LED,선정,충북,충청북도 청주시 흥덕구 대신로146번길 174 (송정동) 주식회사 지디,누리텔레콤,계량기+모뎀,30,공장,공장 3층,형광등,15.7W,128,2.009 ,00-250130378,01224230533,"G-type(단상2선식, 단독)"
200,201602260196 ,롯데하이마트(주),롯데하이마트(주) 청주터미널점,대기업,LED,선정,충북,충청북도 청주시 흥덕구 강서로 126 (강서동) 롯데하이마트(주) 청주터미널점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,LED,15.7W,57,0.895 ,00-250130379,01224230460,"G-type(단상2선식, 단독)"
134,201602260075 ,(주)동원에프앤비중부공장,(주)동원에프앤비중부공장,중견,LED,선정,충북,충청북도 괴산군 불정면 하산로1길 33-10 동원에프앤비중부공장,누리텔레콤,모뎀,20,공장,하치장,LED,80W,14,1.12,00-250130380,01224230496,"G-type(단상2선식, 단독)"
136,201602260079 ,아이에스동서(주)괴산지점,아이에스동서(주)괴산지점,대기업,LED,선정,충북,충청북도 괴산군 감물면 충민로 512-22 ,누리텔레콤,계량기+모뎀,30,공장,제2공장,LED,60W,4,0.240 ,00-250130381,01224230433,"G-type(단상2선식, 단독)"
235,201602260238 ,롯데하이마트(주),롯데하이마트(주) 연수점,대기업,LED,선정,인천,인천광역시 연수구 청능대로 64 (동춘동) 롯데하이마트(주) 연수점,누리텔레콤,계량기+모뎀,30,일반건물,사무실,형광등,64W,13,0.832 ,00-250130382,01224230435,"G-type(단상2선식, 단독)"
255,201602260267 ,엘지전자,가산R&D캠퍼스,대기업,LED,선정,서울,서울특별시 금천구 가산디지털1로 51 (가산동) 가산R&D캠퍼스,누리텔레콤,계량기+모뎀,30,일반건물,연구동 SF 분전반,형광등,64W,43,2.752 ,00-250130383,01224230437,"G-type(단상2선식, 단독)"
82,201602250063 ,주식회사 지디,오창공장,중소,LED,선정,충북,충청북도 청주시 흥덕구 옥산면 과학산업4로 203 주식회사 지디,누리텔레콤,계량기+모뎀,30,공장,폐수처리장,LED,60W,16,0.960 ,00-250130384,01224230451,"G-type(단상2선식, 단독)"
93,201602260017 ,더좋은생활(주),(주)백두테크,중소,LED,선정,충북,충청북도 청주시 청원구 북이면 용계내추로 8 ,누리텔레콤,계량기+모뎀,30,공장,제1공장,LED,80W,20,1.600 ,00-250130385,01224230446,"G-type(단상2선식, 단독)"
18,201602230006 ,LG화학,LG화학 오창1공장 (전지공장),대기업,LED,선정,충북,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 LG화학 오창1공장,누리텔레콤,계량기+모뎀,30,공장,소형2동 팩생산실,LED,33W,238,7.854,00-360000241,01224277974,민수용(3상3선식)
,201602230028-2,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,-,-,일반건물,9층 서측 공조실,LED,"14.7W, 17W","161, 28",2.843,00-450083403,01224230434,"G-type(3상4선식, 단독)"
,201602230028-4,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,-,-,일반건물,8층 서측 공조실,LED,"14.7W, 17W","142, 40",2.767,00-450083404,01224230484,"G-type(3상4선식, 단독)"
,201602230028-5,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,-,-,일반건물,7층 동측 공조실,LED,"14.7W, 17W","141, 32",2.617,00-450083445,01224230485,"G-type(3상4선식, 단독)"
,201602230028-3,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,-,-,일반건물,8층 동측 공조실,LED,"14.7W, 17W","172, 28",3.004,00-450083446,01224230480,"G-type(3상4선식, 단독)"
23,201602230028-1,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,모뎀,23,일반건물,9층 동측 공조실,LED,"14.7W, 17W","130, 40",2.591,00-450083448,01224230542,"G-type(3상4선식, 단독)"
,201602230028-6,(주)영풍사업장,(주)영풍사업장,대기업,LED,선정,서울,서울특별시 종로구 청계천로 41 (서린동) ,누리텔레콤,-,-,일반건물,7층 서측 공조실,LED,"14.7W, 17W","159, 28",2.813,00-450083458,01224230470,"G-type(3상4선식, 단독)"
53,201602240098 ,(주)세원테크,(주)세원테크,중소,LED,선정,충남,충청남도 아산시 배방읍 휴대길 172 ,누리텔레콤,계량기+모뎀,30,공장,공장,LED,32W,240,7.680 ,00-450083463,01220684147,"G-type(3상4선식, 단독)"
